,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
36,Fort Walton Beach,90,US,1554510747,94,30.41,-86.62,68.0,4.7
37,Lebu,75,ET,1554508800,63,8.96,38.73,60.8,4.7
38,Biak,0,ID,1554511013,90,-0.91,122.88,82.38,2.59
39,Lasa,0,CY,1554510635,87,34.92,32.53,57.2,4.7
40,Batemans Bay,20,AU,1554510645,57,-35.71,150.18,73.0,1.99
41,Iqaluit,90,CA,1554509525,92,63.75,-68.52,21.2,2.24
42,Yellowknife,20,CA,1554509528,48,62.45,-114.38,21.2,5.82
43,Nabire,20,ID,1554511021,78,-3.36,135.5,79.23,0.92
44,Ancud,75,CL,1554508800,87,-41.87,-73.83,50.0,4.83
45,Harindanga,20,IN,1554508800,88,22.04,88.32,71.6,3.36
46,Bubaque,8,GW,1554510447,83,11.28,-15.83,83.64,13.22
47,Puksoozero,20,RU,1554511026,79,62.59,40.61,24.69,6.73
48,Hilo,40,US,1554510988,61,19.71,-155.08,80.6,11.41
49,Marawi,12,PH,1554509798,82,8.0,124.29,80.01,4.0
50,Ribeira Grande,20,PT,1554510778,95,38.52,-28.7,61.41,18.81
51,Rocha,0,UY,1554511031,69,-34.48,-54.34,61.77,10.87
52,Pak Phanang,20,TH,1554508800,94,8.35,100.2,77.0,1.12
53,Matamoros,90,US,1554510916,78,25.87,-97.51,78.8,9.17
54,Cape Town,0,ZA,1554510637,67,-33.93,18.42,60.01,6.93
55,Honiara,48,SB,1554510454,85,-9.43,159.96,82.83,2.82
56,Progreso,20,UY,1554510646,63,-34.68,-56.22,64.0,9.17
57,Lagoa,20,PT,1554510438,87,37.14,-8.45,52.0,3.36
58,Tasiilaq,92,GL,1554508200,63,65.61,-37.64,30.2,26.4
59,Olinda,75,EC,1554510928,78,-2.03,-79.75,82.4,5.82
60,Ornskoldsvik,68,SE,1554508200,92,63.29,18.72,33.8,9.17
61,Punta Arenas,75,CL,1554509550,80,-53.16,-70.91,41.0,28.86
62,Katsuura,20,JP,1554510845,45,33.93,134.5,64.4,8.05
63,Tucumcari,40,US,1554510617,17,35.17,-103.73,73.4,18.34
64,Bethel,1,US,1554508560,47,60.79,-161.76,37.4,17.22
65,Mahebourg,75,MU,1554510542,94,-20.41,57.7,77.0,11.41
66,New Norfolk,75,AU,1554510795,48,-42.78,147.06,64.0,19.46
67,Lima,40,PE,1554510912,83,-12.06,-77.04,72.0,11.41
68,Tuatapere,0,NZ,1554510609,56,-46.13,167.69,55.0,5.01
69,Ponta do Sol,68,BR,1554510910,96,-20.63,-46.0,70.68,2.48
70,Busselton,0,AU,1554510693,48,-33.64,115.35,55.99,6.62
71,Atuona,24,PF,1554510777,100,-9.8,-139.03,82.83,13.22
72,Kailua,20,US,1554511026,51,21.39,-157.74,84.2,14.99
73,Arraial do Cabo,20,BR,1554505200,88,-22.97,-42.02,80.6,12.75
74,Vanavara,0,RU,1554510864,78,60.35,102.28,21.9,2.59
75,Jamestown,0,AU,1554511003,71,-33.21,138.6,60.51,6.17
76,Norman Wells,5,CA,1554508800,32,65.28,-126.83,26.6,12.75
77,Pevek,24,RU,1554510794,95,69.7,170.27,6.6,8.63
78,Broome,48,GB,1554511051,87,52.47,1.45,46.0,5.82
79,Portland,90,US,1554510938,76,45.52,-122.67,55.99,8.05
80,Ahipara,44,NZ,1554511067,79,-35.17,173.16,67.53,4.94
81,Avarua,0,CK,1554508800,65,-21.21,-159.78,82.4,8.05
82,Mehamn,0,NO,1554510581,74,71.03,27.85,19.83,7.4
83,Ushuaia,75,AR,1554508800,81,-54.81,-68.31,42.8,43.62
84,Saint-Philippe,90,CA,1554511014,86,45.36,-73.48,36.0,19.46
85,College,1,US,1554510975,29,64.86,-147.8,44.6,10.29
86,Venice,1,US,1554510895,88,27.1,-82.45,77.0,5.95
87,Praia da Vitoria,20,PT,1554510637,82,38.73,-27.07,59.0,23.29
88,Kaitangata,0,NZ,1554511076,55,-46.28,169.85,54.0,10.0
89,Carnarvon,0,ZA,1554511079,78,-30.97,22.13,49.17,10.54
90,Bluff,0,AU,1554511080,48,-23.58,149.07,79.05,11.1
91,Novaya Igirma,80,RU,1554511083,70,57.14,103.93,20.55,3.38
92,Ostrovnoy,0,RU,1554511084,84,68.05,39.51,20.64,15.79
93,Borujerd,90,IR,1554508200,87,33.89,48.76,51.8,6.93
94,Labuhan,12,ID,1554510893,86,-2.54,115.51,77.61,2.71
95,Cidreira,92,BR,1554510735,94,-30.17,-50.22,68.25,9.19
96,Gat,0,SN,1554508800,57,14.69,-16.54,75.2,4.7
97,Victoria,75,BN,1554508800,83,5.28,115.24,84.2,2.24
98,Anaconda,20,US,1554510696,75,46.13,-112.94,45.0,11.41
99,Umm Kaddadah,0,SD,1554511092,18,13.6,26.69,66.9,8.97
100,Thompson,20,CA,1554508800,32,55.74,-97.86,24.8,5.82
101,Flinders,75,AU,1554511031,64,-34.58,150.85,75.0,5.82
102,Aksu,90,KZ,1554508800,100,52.04,76.93,33.8,11.18
103,Dikson,76,RU,1554510828,92,73.51,80.55,18.57,12.88
104,Lompoc,1,US,1554510999,68,34.64,-120.46,64.4,13.87
105,Constitucion,75,MX,1554510615,11,23.99,-104.67,73.4,21.92
106,Abu Kamal,80,SY,1554511101,98,34.45,40.92,51.06,9.19
107,Bolobo,0,CD,1554511102,97,-2.17,16.23,75.72,2.48
108,Kindu,92,CD,1554510744,99,-2.95,25.92,70.5,2.37
109,Coahuayana,0,MX,1554511105,26,18.62,-100.35,85.35,3.15
110,Linxia,0,CN,1554511106,35,35.6,103.21,32.43,5.28
111,Pilar,0,AR,1554511093,59,-34.46,-58.91,64.4,8.52
112,Cherskiy,12,RU,1554510523,75,68.75,161.3,15.33,2.37
113,Hermanus,0,ZA,1554510655,87,-34.42,19.24,57.0,8.01
114,Narsaq,75,GL,1554508200,44,60.91,-46.05,37.4,35.57
115,Verkhnyaya Maksakovka,0,RU,1554510827,86,61.63,50.97,28.99,8.95
116,Saint-Augustin,90,FR,1554510986,93,44.83,-0.61,51.01,6.93
117,Nizhniy Odes,8,RU,1554511114,88,63.64,54.86,19.83,2.48
118,Vestmanna,24,FO,1554508200,86,62.16,-7.17,41.0,2.24
119,Wageningen,75,NL,1554511096,87,51.98,5.66,48.0,4.7
120,Yima,0,CN,1554509928,23,34.75,111.87,70.0,4.0
121,Sisimiut,24,GL,1554511119,95,66.94,-53.67,21.18,3.71
122,Nortelandia,92,BR,1554511121,94,-14.45,-56.8,72.57,3.6
123,Butaritari,88,KI,1554511121,100,3.07,172.79,80.94,14.23
124,Souillac,0,FR,1554510697,76,45.6,-0.6,51.01,2.24
125,Phulji,0,PK,1554511124,45,26.88,67.68,73.2,3.15
126,High Prairie,76,CA,1554510836,63,55.43,-116.48,44.49,8.19
127,Marathon,56,CA,1554511034,93,48.72,-86.38,33.33,5.39
128,Yining,0,CN,1554511128,86,29.04,114.56,56.91,2.71
129,Bambanglipuro,8,ID,1554511129,95,-7.95,110.28,74.37,4.05
130,Necochea,0,AR,1554511130,75,-38.55,-58.74,54.84,8.41
131,Saint George,90,GR,1554508200,81,39.45,22.34,53.6,8.05
132,Hambantota,0,LK,1554509400,100,6.12,81.12,75.2,3.36
133,Kodiak,1,US,1554511116,39,39.95,-94.76,64.4,10.29
134,Inhambane,8,MZ,1554511136,100,-23.87,35.38,73.47,4.72
135,Acajutla,48,SV,1554510924,73,13.59,-89.83,77.0,3.0
136,Vila Franca do Campo,75,PT,1554510844,82,37.72,-25.43,57.2,13.87
137,Muskegon,20,US,1554511119,70,43.23,-86.25,53.01,9.17
138,Kasongo-Lunda,24,CD,1554511141,97,-6.48,16.82,72.03,2.15
139,Vao,8,EE,1554510554,77,59.1,26.19,30.45,4.27
140,Diglur,32,IN,1554511145,73,18.55,77.6,70.5,8.97
141,Sambava,68,MG,1554510866,100,-14.27,50.17,80.67,13.89
142,Husavik,0,CA,1554510931,89,50.56,-96.99,33.01,7.0
143,Tura,36,IN,1554511148,95,25.52,90.21,65.55,2.48
144,Ilulissat,0,GL,1554508200,74,69.22,-51.1,32.0,32.21
145,Nanortalik,56,GL,1554510935,89,60.14,-45.24,32.25,23.51
146,Sao Filipe,0,CV,1554510702,97,14.9,-24.5,70.5,18.37
147,Berlevag,0,NO,1554511153,100,70.86,29.09,24.87,10.76
148,Saint Pete Beach,40,US,1554511146,78,27.73,-82.74,77.0,5.82
149,Oranjemund,8,ZA,1554511155,94,-28.55,16.43,59.97,21.72
150,Ngaoundere,8,CM,1554511157,89,7.32,13.58,62.76,3.15
151,Hovd,0,NO,1554510901,55,63.83,10.7,39.2,11.41
152,Clyde River,90,CA,1554510000,84,70.47,-68.59,-2.21,19.46
153,Makakilo City,1,US,1554510696,51,21.35,-158.09,84.2,16.11
154,Puerto Ayora,75,EC,1554510677,78,-0.74,-90.35,80.6,5.82
155,Iranshahr,0,IR,1554508800,33,27.21,60.69,75.2,4.7
156,Palmer,20,AU,1554510684,48,-34.85,139.16,69.01,13.87
157,Yidu,48,CN,1554511165,82,30.39,111.44,58.44,2.71
158,Flin Flon,75,CA,1554505200,58,54.77,-101.88,32.0,4.7
159,Pokhara,64,NP,1554511168,81,28.21,83.99,47.37,1.7
160,Finschhafen,88,PG,1554511169,93,-6.6,147.85,75.81,2.15
161,Coihaique,75,CL,1554508800,54,-45.58,-72.07,55.4,8.05
162,Walvis Bay,8,NA,1554508928,87,-22.95,14.51,59.0,12.75
163,Road Town,40,VG,1554511031,74,18.42,-64.62,79.0,11.41
164,Bo Rai,20,TH,1554510998,94,12.57,102.54,86.0,3.36
165,Qasigiannguit,0,GL,1554508200,74,68.82,-51.19,32.0,32.21
166,Solton,88,RU,1554511176,98,52.84,86.48,31.8,6.17
167,Upernavik,20,GL,1554511178,100,72.79,-56.15,15.96,13.56
168,Zhangzhou,40,CN,1554508800,73,24.51,117.65,71.6,4.47
169,Termez,20,AF,1554509547,77,37.23,67.28,64.4,9.17
170,Tsumeb,0,NA,1554511182,43,-19.25,17.72,65.91,6.29
171,Kavieng,56,PG,1554511183,100,-2.57,150.8,83.55,4.94
172,Tigil,48,RU,1554511184,92,57.8,158.67,35.58,7.96
173,Andra,0,RU,1554511186,71,62.52,65.89,19.83,6.73
174,Port Hueneme,75,US,1554511179,67,34.15,-119.2,63.0,8.05
175,Highview,75,KE,1554510612,82,-1.31,36.8,66.2,9.17
176,Balad,8,ID,1554511189,100,-6.76,108.42,81.03,5.95
177,Ewo,0,CG,1554511191,93,-0.88,14.81,73.92,4.38
178,Tiksi,68,RU,1554511192,84,71.64,128.87,18.21,3.71
179,Nome,90,US,1554511174,83,30.04,-94.42,75.0,4.7
180,Tolaga Bay,80,NZ,1554511194,92,-38.37,178.3,59.97,9.64
181,La Baneza,56,ES,1554511160,82,42.3,-5.9,33.8,5.82
182,Vanimo,44,PG,1554510599,100,-2.67,141.3,80.49,8.41
183,Swellendam,0,ZA,1554508800,87,-34.02,20.44,51.8,5.82
184,Chuy,8,UY,1554511199,82,-33.69,-53.46,66.0,17.25
185,Khatanga,0,RU,1554510947,76,71.98,102.47,13.17,17.69
186,Durban,92,FR,1554511110,100,43.54,0.58,50.0,8.05
187,Longyearbyen,90,NO,1554508200,62,78.22,15.63,19.4,2.24
188,Klaksvik,32,FO,1554508200,86,62.23,-6.59,41.0,2.24
189,Kahului,40,US,1554510835,48,20.89,-156.47,86.0,10.29
190,Okhotsk,88,RU,1554511208,77,59.36,143.24,36.3,6.62
191,Mogzon,0,RU,1554511209,45,51.74,111.97,18.57,8.19
192,Chokurdakh,24,RU,1554511210,100,70.62,147.9,13.08,4.72
193,Jalu,92,LY,1554510924,98,29.03,21.55,64.02,6.4
194,Suraabad,0,AZ,1554508800,81,40.82,49.47,50.0,10.29
195,San Quintin,0,PH,1554511214,84,17.54,120.52,76.98,3.6
196,Bredasdorp,0,ZA,1554510655,87,-34.53,20.04,57.0,5.82
197,Luganville,92,VU,1554511217,100,-15.51,167.18,81.93,5.95
198,Nara,20,JP,1554510852,55,34.68,135.8,60.8,10.29
199,Akdagmadeni,32,TR,1554511219,81,39.66,35.88,28.83,2.71
200,Manzanares,76,ES,1554511189,87,39.0,-3.37,42.01,13.0
201,Tera,0,CY,1554510635,87,34.97,32.42,57.2,4.7
202,Zhigansk,44,RU,1554510711,79,66.77,123.37,25.68,5.61
203,East London,92,ZA,1554511224,100,-33.02,27.91,64.56,6.96
204,Male,0,UA,1554511225,69,50.74,33.7,28.83,2.71
205,Tamasane,0,BW,1554511226,72,-22.42,27.4,66.09,10.76
206,Den Helder,90,NL,1554510425,87,52.96,4.76,48.0,8.05
207,Hasaki,0,JP,1554511061,100,35.73,140.83,64.0,2.24
208,Raudeberg,0,NO,1554509706,86,61.99,5.14,42.01,3.36
209,Rio Branco,20,BR,1554508800,100,-9.98,-67.82,77.0,4.7
210,Nishihara,20,JP,1554511201,31,35.74,139.53,64.0,10.29
211,Meulaboh,20,ID,1554510575,100,4.14,96.13,80.4,4.27
212,Aykhal,76,RU,1554511235,81,65.95,111.51,20.37,3.94
213,Brae,92,GB,1554508200,93,60.4,-1.35,44.6,3.36
214,Skibbereen,90,IE,1554508800,100,51.55,-9.27,42.8,12.75
215,Gouyave,40,GD,1554508800,83,12.16,-61.73,78.8,11.41
216,Kashan,92,IR,1554511241,49,33.99,51.44,55.74,3.6
217,Muros,75,ES,1554511204,93,42.77,-9.06,48.99,8.05
218,Sao Joao da Barra,0,BR,1554511222,94,-21.64,-41.05,82.38,25.75
219,Cabo San Lucas,40,MX,1554510793,50,22.89,-109.91,82.0,16.11
220,North Bend,90,US,1554510923,62,43.41,-124.22,57.2,13.87
221,Guerrero Negro,0,MX,1554511247,72,27.97,-114.04,66.27,11.43
222,Sarangani,8,PH,1554511248,97,5.4,125.46,81.48,3.6
223,Kathu,0,ZA,1554510667,81,-27.7,23.05,57.99,5.73
224,Three Hills,90,CA,1554510915,85,51.7,-113.27,50.0,18.34
225,Xichang,76,CN,1554511252,99,27.88,102.25,44.13,1.36
226,Bilibino,8,RU,1554511253,80,68.06,166.44,27.93,2.37
227,Castro,75,CL,1554508800,87,-42.48,-73.76,50.0,5.28
228,Port Elizabeth,90,US,1554511106,87,39.31,-74.98,51.01,9.17
229,Tabou,36,CI,1554511257,100,4.42,-7.36,83.1,11.32
230,Vila Velha,0,BR,1554511090,83,-3.71,-38.6,80.6,2.24
231,Tevriz,0,RU,1554511260,79,57.51,72.4,22.35,6.62
232,Ossora,80,RU,1554511261,98,59.24,163.07,30.36,13.22
233,Lavrentiya,0,RU,1554511262,100,65.58,-170.99,20.91,4.72
234,Nanning,88,CN,1554508800,94,22.83,108.3,68.0,2.24
235,Yulara,0,AU,1554508800,26,-25.24,130.99,80.6,13.87
236,Dosso,8,NE,1554511267,46,13.05,3.19,78.96,5.73
237,Pacific Grove,1,US,1554510435,59,36.62,-121.92,64.4,8.05
238,Atyashevo,88,RU,1554511270,95,54.56,46.07,31.8,5.39
239,Mbeya,20,TZ,1554511271,93,-8.91,33.47,57.27,3.38
240,Levelland,75,US,1554511060,46,33.59,-102.38,71.01,10.29
241,Teknaf,44,BD,1554511274,96,20.86,92.31,69.6,2.37
242,Itajuipe,40,BR,1554508800,79,-14.68,-39.38,84.2,8.05
243,Mpika,88,ZM,1554511276,95,-11.84,31.4,62.58,5.28
244,Aranos,0,NA,1554511277,33,-24.14,19.11,58.8,9.42
245,Merrill,20,US,1554511206,61,42.03,-121.6,51.01,16.11
246,Rindal,8,NO,1554511280,85,63.05,9.21,26.31,1.36
247,Ereymentau,88,KZ,1554511281,96,51.62,73.1,32.25,9.19
248,Malanje,8,AO,1554511282,94,-9.54,16.35,66.09,2.37
249,Santa Lucia,5,IT,1554508500,66,39.93,9.66,50.0,4.7
250,Mareeba,75,AU,1554510802,78,-16.99,145.42,79.0,12.75
251,Svetlaya,56,RU,1554511287,84,46.54,138.33,35.31,4.27
252,Pleasanton,90,US,1554511620,72,37.66,-121.87,64.4,3.36
253,Glace Bay,5,CA,1554511284,36,46.2,-59.96,33.01,6.93
254,Liverpool,0,GB,1554511189,70,53.41,-2.98,46.99,10.29
255,Dingle,44,PH,1554511292,78,11.0,122.67,80.31,7.4
256,Qaqortoq,75,GL,1554508200,44,60.72,-46.03,37.4,35.57
257,Orlik,36,RU,1554511294,79,52.51,99.83,11.82,2.37
258,Fortuna,0,ES,1554510878,66,38.18,-1.13,51.01,9.17
259,Kolyvan,0,RU,1554508800,58,55.31,82.74,28.4,6.71
260,Zatoka,0,PL,1554511271,66,50.04,20.52,48.99,8.05
261,Ginir,24,ET,1554511299,76,7.14,40.71,58.98,2.82
262,Savannah Bight,8,HN,1554511300,95,16.45,-85.85,80.67,22.28
263,Qaanaaq,0,GL,1554511301,77,77.48,-69.36,-0.97,7.63
264,Kautokeino,0,NO,1554511303,78,69.01,23.04,20.28,8.75
265,Codrington,20,AU,1554511017,69,-28.95,153.24,77.0,3.38
266,Jiwani,20,PK,1554511305,59,25.05,61.74,77.7,3.38
267,Prainha,36,BR,1554511307,80,-1.8,-53.48,81.21,5.06
268,Beloha,0,MG,1554511308,77,-25.17,45.06,74.01,7.96
269,Riberalta,8,BO,1554511309,89,-11.0,-66.08,79.5,2.15
270,Agadez,0,NE,1554511311,23,16.97,7.99,72.21,5.73
271,Yangshan,0,CN,1554511313,45,31.68,103.77,32.88,1.7
272,Shambu,76,ET,1554511314,87,9.57,37.1,51.6,2.04
273,Visby,8,SE,1554510774,65,57.64,18.3,44.01,10.29
274,Mayo,75,CA,1554508800,43,63.59,-135.9,32.0,11.41
275,Mount Gambier,90,AU,1554508800,67,-37.83,140.78,59.0,10.29
276,Bonavista,68,CA,1554510633,66,48.65,-53.11,28.99,20.0
277,Tocopilla,0,CL,1554511320,87,-22.09,-70.2,64.74,6.73
278,Tawang,0,BT,1554511322,52,27.59,91.87,36.75,1.7
279,San Angelo,1,US,1554510904,32,31.46,-100.44,82.99,12.75
280,Nikolskoye,0,RU,1554510936,68,59.7,30.79,37.0,2.24
281,San Cristobal,75,EC,1554510740,82,-0.39,-78.55,59.0,9.17
282,Beckley,90,US,1554511286,93,37.78,-81.19,53.6,6.93
283,Madimba,8,CM,1554508800,100,4.42,9.93,77.0,3.94
284,Mayor Pablo Lagerenza,76,PY,1554511331,71,-19.93,-60.77,64.29,17.47
285,Margate,75,AU,1554511281,48,-43.03,147.26,64.0,19.46
286,Vestmannaeyjar,0,IS,1554511188,95,63.44,-20.27,37.2,11.65
287,Pipri,36,IN,1554511335,72,24.21,83.02,70.41,1.48
288,Chicontepec,36,MX,1554511209,40,20.97,-98.17,88.95,5.17
289,Porto Walter,32,BR,1554511338,88,-8.27,-72.74,80.94,1.92
290,Belaya Gora,56,RU,1554511340,99,68.54,146.19,22.44,5.39
291,Ratnagiri,92,IN,1554511341,100,16.98,73.3,79.77,5.95
292,Dutse,8,NG,1554511342,27,11.76,9.34,77.7,6.4
293,Ambatondrazaka,68,MG,1554511343,97,-17.82,48.43,66.9,2.37
294,Soure,75,PT,1554511290,87,40.06,-8.63,50.0,3.36
295,Moses Lake,75,US,1554511235,48,47.13,-119.28,62.6,18.34
296,Alice Springs,0,AU,1554508800,36,-23.7,133.88,80.6,5.82
297,Kidal,0,ML,1554511348,25,18.44,1.41,83.46,14.67
298,Lanzhou,0,CN,1554508800,28,36.06,103.82,42.8,4.47
299,Obanazawa,75,JP,1554508800,50,38.6,140.43,55.4,16.11
300,Ampanihy,0,MG,1554511352,76,-24.69,44.75,69.87,5.5
301,Mackenzie,90,CA,1554508800,66,55.34,-123.09,46.4,2.24
302,Quincy,90,US,1554511315,100,30.59,-84.58,70.0,3.36
303,Shakhtinsk,90,KZ,1554508800,100,49.71,72.59,33.8,11.18
304,Quatre Cocos,75,MU,1554511142,94,-20.21,57.76,77.0,11.41
305,Chenghai,75,CN,1554508800,100,23.46,116.77,69.8,4.47
306,Zwedru,80,LR,1554511359,91,6.07,-8.13,73.83,3.6
307,Geraldton,90,CA,1554508800,74,49.72,-86.95,35.6,5.82
308,Inta,56,RU,1554511362,75,66.04,60.13,24.69,7.63
309,Gwadar,32,PK,1554511363,60,25.12,62.33,80.49,6.06
310,Kewanee,90,US,1554511095,81,41.25,-89.92,55.4,3.04
311,Santiago,0,CL,1554511103,41,-33.44,-70.65,75.2,12.75
312,Campos,40,PT,1554511260,87,41.54,-8.28,48.0,8.05
313,Magrath,90,CA,1554510867,46,49.42,-112.86,55.99,5.82
314,Petrozavodsk,0,RU,1554508800,92,61.79,34.39,24.8,2.71
315,Pringsewu,44,ID,1554511372,93,-5.36,104.98,74.91,2.15
316,Marsaxlokk,75,MT,1554510954,100,35.84,14.54,57.2,14.99
317,Kutum,0,SD,1554511374,24,14.2,24.66,57.45,7.96
318,Bagotville,68,AU,1554511315,64,-28.98,153.42,75.99,5.82
319,Luderitz,24,NA,1554511377,76,-26.65,15.16,59.97,17.02
320,Osoyoos,90,CA,1554511241,62,49.03,-119.47,54.0,19.46
321,Riyadh,75,SA,1554508800,46,24.63,46.72,73.4,5.82
322,Deputatskiy,76,RU,1554511387,86,69.3,139.9,15.15,3.94
323,Lufilufi,20,WS,1554509546,66,-13.87,-171.6,89.6,13.87
324,Rawson,8,AR,1554511390,38,-43.3,-65.11,56.37,3.71
325,Huarmey,8,PE,1554511391,80,-10.07,-78.15,67.98,2.93
326,Aquiraz,0,BR,1554511090,83,-3.9,-38.39,80.6,2.24
327,Grimshaw,90,CA,1554511333,64,56.19,-117.61,37.0,18.34
328,Jurm,48,AF,1554511395,92,36.86,70.83,30.45,1.14
329,Isangel,75,VU,1554508800,55,-19.55,169.27,86.0,19.46
330,Talnakh,88,RU,1554511397,92,69.49,88.39,24.96,16.8
331,Batagay-Alyta,88,RU,1554511398,84,67.8,130.41,23.25,4.38
332,Sidi Ali,92,DZ,1554511400,90,36.1,0.42,51.42,11.65
333,Ende,44,ID,1554511401,100,-8.84,121.65,82.11,10.42
334,Valley City,90,US,1554509700,100,46.92,-98.0,39.2,10.29
335,Whitianga,92,NZ,1554511210,84,-36.83,175.7,63.0,11.43
336,Sinnamary,100,GF,1554511405,91,5.38,-52.96,81.03,11.65
337,Tornio,0,FI,1554511183,71,61.12,27.27,35.6,6.93
338,Nemuro,75,JP,1554508800,64,43.32,145.57,37.4,17.22
339,Salta,0,AR,1554508800,82,-24.79,-65.41,57.2,3.36
340,Beringovskiy,0,RU,1554511410,100,63.05,179.32,22.8,6.17
341,Vardo,90,US,1554511196,100,39.62,-77.74,44.6,5.82
342,Alofi,75,NU,1554508800,83,-19.06,-169.92,82.4,8.05
343,Bukachacha,88,RU,1554511413,66,52.99,116.91,28.65,5.61
344,Kurchum,80,KZ,1554511414,92,48.57,83.65,46.11,6.4
345,Fushe-Kruje,90,AL,1554510000,93,41.48,19.72,53.6,1.12
346,Port-Cartier,75,CA,1554511400,39,50.03,-66.88,30.99,5.82
347,Saint Anthony,90,US,1554511255,57,43.97,-111.68,51.8,14.99
348,Lorengau,8,PG,1554511419,98,-2.02,147.27,83.28,1.7
349,Vallenar,0,CL,1554511420,85,-28.58,-70.76,56.37,2.15
350,Nha Trang,20,VN,1554508800,74,12.24,109.19,82.4,3.36
351,Bekhtery,0,UA,1554511423,85,46.25,32.3,35.58,6.06
352,Harper,1,US,1554511230,47,30.3,-99.24,78.8,6.93
353,Volga,20,US,1554511053,100,44.32,-96.93,57.2,8.05
354,High Level,90,CA,1554508800,63,58.52,-117.13,28.4,8.05
355,Klyuchi,88,RU,1554511428,99,52.25,79.17,35.67,8.63
356,Porto Novo,20,BR,1554508800,78,-23.68,-45.44,77.0,2.24
357,Araouane,0,ML,1554511431,26,18.9,-3.53,75.27,9.64
358,Komsomolskiy,80,RU,1554511432,90,67.55,63.78,22.35,16.24
359,Chalons-en-Champagne,24,FR,1554511432,80,48.95,4.37,41.0,11.41
360,General Roca,0,AR,1554508800,62,-39.03,-67.58,59.0,5.39
361,Bandarbeyla,0,SO,1554511436,100,9.49,50.81,78.96,2.59
362,Vostok,68,RU,1554511437,73,46.45,135.83,31.26,2.93
363,Havelock,90,US,1554511377,88,34.88,-76.9,64.4,5.82
364,Banjar,12,ID,1554511443,94,-7.37,108.54,72.39,3.94
365,Batticaloa,0,LK,1554511444,100,7.71,81.69,75.63,3.71
366,Aguas Formosas,0,BR,1554511445,65,-17.08,-40.94,78.24,9.64
367,Oksfjord,0,NO,1554508200,54,70.24,22.35,28.4,16.11
368,Christchurch,80,NZ,1554511087,76,-43.53,172.64,52.0,13.87
369,Sept-Iles,75,CA,1554511117,39,50.2,-66.38,30.99,5.82
370,Kavaratti,8,IN,1554510898,100,10.57,72.64,83.73,4.61
371,Frontera,5,MX,1554507780,46,18.53,-92.64,89.6,4.7
372,Pombas,36,BR,1554511452,84,-15.9,-54.74,77.7,2.15
373,Seoul,40,KR,1554509400,48,37.57,126.98,51.8,1.12
374,Ekangala,76,ZA,1554511375,94,-25.66,28.73,60.01,5.5
